2011-04-08 13:40:25 Debug: Notice (8): Undefined property: TestsController::$Directory in [D:\xampp\htdocs\iproperty\app\controllers\tests_controller.php, line 15]
2011-04-08 13:40:52 Debug: Notice (8): Undefined property: TestsController::$Directory in [D:\xampp\htdocs\iproperty\app\controllers\tests_controller.php, line 15]
2011-04-08 16:08:01 Debug: Notice (8): Undefined index:  id in [D:\xampp\htdocs\iproperty\app\controllers\backs_controller.php, line 35]
2011-04-08 16:08:07 Debug: Notice (8): Undefined index:  id in [D:\xampp\htdocs\iproperty\app\controllers\backs_controller.php, line 35]
2011-04-11 16:59:28 Debug: Notice (8): Use of undefined constant _blank - assumed '_blank' in [C:\xampp\htdocs\iproperty\app\views\tests\contact.ctp, line 25]
2011-04-12 10:38:21 Debug: Notice (8): Undefined variable: lightbox in [C:\xampp\htdocs\iproperty\app\views\tests\gallery.ctp, line 9]
2011-04-12 10:41:25 Debug: Notice (8): Undefined variable: lightbox in [C:\xampp\htdocs\iproperty\app\views\tests\gallery.ctp, line 9]
2011-04-12 11:10:06 Debug: Notice (8): Undefined property: View::$Javascript in [C:\xampp\htdocs\iproperty\app\views\layouts\default.ctp, line 10]
2011-04-12 11:10:07 Debug: Notice (8): Undefined property: View::$Javascript in [C:\xampp\htdocs\iproperty\app\views\layouts\default.ctp, line 10]
2011-04-12 11:29:34 Debug: Notice (8): Undefined property: View::$Javascript in [C:\xampp\htdocs\iproperty\app\views\layouts\default.ctp, line 10]
2011-04-12 11:29:35 Debug: Notice (8): Undefined property: View::$Javascript in [C:\xampp\htdocs\iproperty\app\views\layouts\default.ctp, line 10]
2011-04-12 11:32:44 Debug: Notice (8): Undefined variable: lightbox in [C:\xampp\htdocs\iproperty\app\views\tests\gallery.ctp, line 9]
2011-04-12 11:33:19 Debug: Notice (8): Undefined variable: lightbox in [C:\xampp\htdocs\iproperty\app\views\tests\gallery.ctp, line 9]
2011-04-12 11:33:20 Debug: Notice (8): Undefined variable: lightbox in [C:\xampp\htdocs\iproperty\app\views\tests\gallery.ctp, line 9]
2011-04-12 11:33:34 Debug: Notice (8): Undefined variable: lightbox in [C:\xampp\htdocs\iproperty\app\views\tests\gallery.ctp, line 9]
2011-04-12 12:02:16 Debug: Notice (8): Undefined variable: lightbox in [C:\xampp\htdocs\iproperty\app\views\tests\gallery.ctp, line 9]
2011-04-19 10:26:10 Debug: Notice (8): Use of undefined constant home_layout - assumed 'home_layout' in [C:\xampp\htdocs\iproperty\app\views\pages\index.ctp, line 2]
